,surface_area,independence_year,population,life_expectancy,gnp
0,193.0,,103000,78.4,828.0
1,652090.0,1919.0,22720000,45.9,5976.0
2,1246700.0,1975.0,12878000,38.3,6648.0
3,96.0,,8000,76.1,63.2
4,28748.0,1912.0,3401200,71.6,3205.0
5,468.0,1278.0,78000,83.5,1630.0
6,800.0,,217000,74.7,1941.0
7,83600.0,1971.0,2441000,74.1,37966.0
8,2780400.0,1816.0,37032000,75.1,340238.0
9,29800.0,1991.0,3520000,66.4,1813.0
10,199.0,,68000,75.1,334.0
11,13120000.0,,0,,0.0
12,7780.0,,0,,0.0
13,442.0,1981.0,68000,70.5,612.0
14,7741220.0,1901.0,18886000,79.8,351182.0
15,83859.0,1918.0,8091800,77.7,211860.0
16,86600.0,1991.0,7734000,62.9,4127.0
17,27834.0,1962.0,6695000,46.2,903.0
18,30518.0,1830.0,10239000,77.8,249704.0
19,112622.0,1960.0,6097000,50.2,2357.0
20,274000.0,1960.0,11937000,46.7,2425.0
21,143998.0,1971.0,129155000,60.2,32852.0
22,110994.0,1908.0,8190900,70.9,12178.0
23,694.0,1971.0,617000,73.0,6366.0
24,13878.0,1973.0,307000,71.1,3527.0
25,51197.0,1992.0,3972000,71.5,2841.0
26,207600.0,1991.0,10236000,68.0,13714.0
27,22696.0,1981.0,241000,70.9,630.0
28,53.0,,65000,76.9,2328.0
29,1098581.0,1825.0,8329000,63.7,8571.0
30,8547403.0,1822.0,170115000,62.9,776739.0
31,430.0,1966.0,270000,73.0,2223.0
32,5765.0,1984.0,328000,73.6,11705.0
33,47000.0,1910.0,2124000,52.4,372.0
34,59.0,,0,,0.0
35,581730.0,1966.0,1622000,39.3,4834.0
36,622984.0,1960.0,3615000,44.0,1054.0
37,9970610.0,1867.0,31147000,79.4,598862.0
38,14.0,,600,,0.0
39,41284.0,1499.0,7160400,79.6,264478.0
40,756626.0,1810.0,15211000,75.7,72949.0
41,9572900.0,-1523.0,1277558000,71.4,982268.0
42,322463.0,1960.0,14786000,45.2,11345.0
43,475442.0,1960.0,15085000,54.8,9174.0
44,2344858.0,1960.0,51654000,48.8,6964.0
45,342000.0,1960.0,2943000,47.4,2108.0
46,236.0,,20000,71.1,100.0
47,1138914.0,1810.0,42321000,70.3,102896.0
48,1862.0,1975.0,578000,60.0,4401.0
49,4033.0,1975.0,428000,68.9,435.0
50,51100.0,1821.0,4023000,75.8,10226.0
